"ProvinceName","MetroName","MetroCode","DisplayName"
"Idaho","Twin Falls ID","760","TwinFalls"
"Illinois","Champaign & Springfield-Decatur,IL","648","ChampaignSpringfield"
"Illinois","Chicago IL","602","Chicago"
"Illinois","Davenport IA-Rock Island-Moline IL","682","Davenport"
"Illinois","Evansville IN","649","Evansville"
"Illinois","Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL","632","Paducah"
"Illinois","Peoria-Bloomington IL","675","PeoriaBloomington"
"Illinois","Quincy IL-Hannibal MO-Keokuk IA","717","QuincyHannibalKeokuk"
"Illinois","Rockford IL","610","Rockford"
"Illinois","St. Louis MO","609","StLouisMO"
"Illinois","Terre Haute IN","581","TerraHaute"
"Indiana","Chicago IL","602","ChicagoIN"
"Indiana","Cincinnati OH","515","Cincinatti"
"Indiana","Dayton OH","542","Dayton"
"Indiana","Evansville IN","649","Evansville"
"Indiana","Ft. Wayne IN","509","FtWayne"
"Indiana","Indianapolis IN","527","Indianapolis"
"Indiana","Lafayette IN","582","Lafayette"
"Indiana","Louisville KY","529","LouisvilleKY"
"Indiana","South Bend-Elkhart IN","588","SouthBend"
"Indiana","Terre Haute IN","581","TerreHaute"
"Iowa","Cedar Rapids-Waterloo-Iowa City & Dubuque IA","637","CedarRapids"
"Iowa","Davenport IA-Rock Island-Moline IL","682","DavenportIA"
"Iowa","Des Moines-Ames IA","679","DesMoines"
"Iowa","Mankato MN","737","Mankato"
"Iowa","Omaha NE","652","Omaha"
"Iowa","Ottumwa IA-Kirksville MO","631","Ottumwa"
"Iowa","Quincy IL-Hannibal MO-Keokuk IA","717","Qunicy"
"Iowa","Rochester MN-Mason City IA-Austin MN","611","RochesterMN"
"Iowa","Sioux City IA","624","SiouxCity"
"Iowa","Sioux Falls(Mitchell) SD","725","SiouxFalls"
"Kansas","Amarillo TX","634","Amarillo"
"Kansas","Joplin MO-Pittsburg KS","603","Joplin"
"Kansas","Kansas City MO","616","KansasCityMO"
"Kansas","Lincoln & Hastings-Kearney NE","722","LincolnNE"
"Kansas","St. Joseph MO","638","StJoseph"
"Kansas","Topeka KS","605","Topeka"
"Kansas","Tulsa OK","671","Tulsa"
"Kansas","Wichita-Hutchinson KS","678","Witchita"
"Kentucky","Bowling Green KY","736","BowlingGreen"
"Kentucky","Charleston-Huntington WV","564","CharlestonWV"
"Kentucky","Cincinnati OH","515","Cincinnati"
"Kentucky","Evansville IN","649","EvansvilleIN"
"Kentucky","Knoxville TN","557","KnoxvilleTN"
"Kentucky","Lexington KY","541","Lexington"
"Kentucky","Louisville KY","529","Louisville"
"Kentucky","Nashville TN","659","Nashville"
"Kentucky","Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL","632","Paducah"
"Kentucky","Tri-Cities TN-VA","531","TriCities"
"Louisiana","Alexandria LA","644","Alexandria"
"Louisiana","Baton Rouge LA","716","BatonRouge"
"Louisiana","Lafayette LA","642","Lafayette"
"Louisiana","Lake Charles LA","643","LakeCharles"
"Louisiana","Monroe LA-El Dorado AR","628","Monroe"
"Louisiana","New Orleans LA","622","NewOrleans"
"Louisiana","Shreveport LA","612","Shreveport"
"Maine","Bangor ME","537","Bangor"
"Maine","Portland-Auburn ME","500","PortlandME"
"Maine","Presque Isle ME","552","PresqueIsle"
"Maryland","Baltimore MD","512","Baltimore"
"Maryland","Pittsburgh PA","508","PittsburgPA"
"Maryland","Salisbury MD","576","Salisbury"
"Maryland","Washington DC (Hagerstown MD)","511","WashingtonDC"
"Massachusetts","Albany-Schenectady-Troy NY","532","AlbanyNY"
"Massachusetts","Boston MA-Manchester NH","506","Boston"
"Massachusetts","Providence RI-New Bedford MA","521","Providence"
"Massachusetts","Springfield-Holyoke MA","543","SpringfieldMA"
"Michigan","Alpena MI","583","AlpenaMI"
"Michigan","Detroit MI","505","Detroit"
"Michigan","Duluth MN-Superior WI","676","Duluth"
"Michigan","Flint-Saginaw-Bay City MI","513","Flint"
"Michigan","Grand Rapids-Kalamazoo-Battle Creek MI","563","GrandRapidsMI"
"Michigan","Green Bay-Appleton WI","658","GreenBayWI"
"Michigan","Lansing MI","551","LansingMI"
"Michigan","Marquette MI","553","MarquetteMI"
"Michigan","South Bend-Elkhart IN","588","SouthBendIN"
"Michigan","Toledo OH","547","Toledo"
"Michigan","Traverse City-Cadillac MI","540","TraverseCity"
"Minnesota","Duluth MN-Superior WI","676","DuluthMN"
"Minnesota","Fargo-Valley City ND","724","FargoValley"
"Minnesota","La Crosse-Eau Claire WI","702","LaCrosse"
"Minnesota","Mankato MN","737","Makato"
"Minnesota","Minneapolis-St. Paul MN","613","MinneapolisStPaul"
"Minnesota","Rochester MN-Mason City IA-Austin MN","611","RochesterMN"
"Minnesota","Sioux Falls(Mitchell) SD","725","SiouxFallsSD"
"Mississippi","Baton Rouge LA","716","BatonRouge"
"Mississippi","Biloxi-Gulfport MS","746","BiloxiGulfport"
"Mississippi","Columbus-Tupelo-West Point MS","673","ColumbusTupelo"
"Mississippi","Greenwood-Greenville MS","647","GreenwoodGreenville"
"Mississippi","Hattiesburg-Laurel MS","710","Hattiesburg"
"Mississippi","Jackson MS","718","JacksonMS"
"Mississippi","Memphis TN","640","MemphisTN"
"Mississippi","Meridian MS","711","MeridianMS"
"Mississippi","Mobile AL-Pensacola (Ft. Walton Beach) FL","686","MobileAL"
"Mississippi","New Orleans LA","622","NewOrleans"
"Missouri","Columbia-Jefferson City MO","604","ColumbiaJeffersonCity"
"Missouri","Des Moines-Ames IA","679","DesMoines"
"Missouri","Joplin MO-Pittsburg KS","603","Joplin"
"Missouri","Kansas City MO","616","KansasCity"
"Missouri","Memphis TN","640","Memphis"
"Missouri","Omaha NE","652","Omaha"
"Missouri","Ottumwa IA-Kirksville MO","631","Ottumwa"
"Missouri","Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL","632","Paducah"
"Missouri","Quincy IL-Hannibal MO-Keokuk IA","717","QuincyIL"
"Missouri","Springfield MO","619","SpringfieldMO"
"Missouri","St. Joseph MO","638","StJosephMO"
"Missouri","St. Louis MO","609","StLouisMO"
"Montana","Billings MT","756","BillingsMT"
"Montana","Butte-Bozeman MT","754","ButteBozeman"
"Montana","Glendive MT","798","Glendive"
"Montana","Great Falls MT","755","GreatFalls"
"Montana","Helena MT","766","Helena"
"Montana","Minot-Bismarck-Dickinson(Williston) ND","687","Minot"
"Montana","Missoula MT","762","Missoula"
"Montana","Rapid City SD","764","RapidCity"
"Montana","Spokane WA","881","Spokane"
"Nebraska","Cheyenne WY-Scottsbluff NE","759","Cheyenne"
"Nebraska","Lincoln & Hastings-Kearney NE","722","Lincoln"
"Nebraska","North Platte NE","740","NorthPlatte"
"Nebraska","Omaha NE","652","Omaha"
"Nebraska","Rapid City SD","764","RapidCitySD"
"Nebraska","Sioux City IA","624","SiouxCityIA"
"Nebraska","Wichita-Hutchinson KS","678","WichitaKS"
"Nevada","Las Vegas NV","839","LasVegas"
"Nevada","Reno NV","811","Reno"
"Nevada","Salt Lake City UT","770","SaltLakeCity"
"New Hampshire","Boston MA-Manchester NH","506","Boston"
"New Hampshire","Burlington VT-Plattsburgh NY","523","BurlingtonVT"
"New Hampshire","Portland-Auburnh ME","500","PortlandME"
"New Jersey","New York NY","501","NewYork"
"New Jersey","Philadelphia PA","504","Philadelphia"
"New Mexico","Albuquerque-Santa Fe NM","790","Albuquerque"
"New Mexico","Amarillo TX","634","Amarillo"
"New Mexico","El Paso TX","765","ElPaso"
"New Mexico","Odessa-Midland TX","633","Odessa"
"New York","Albany-Schenectady-Troy NY","532","Albany"
"New York","Binghamton NY","502","Binghamton"
"New York","Buffalo NY","514","Buffalo"
"New York","Burlington VT-Plattsburgh NY","523","Burlington"
"New York","Elmira NY","565","Elmira"
"New York","New York NY","501","NewYork"
"New York","Rochester NY","538","RochesterNY"
"New York","Syracuse NY","555","Syracus"
"New York","Utica NY","526","Utica"
"New York","Watertown NY","549","Waterton"
"North Carolina","Atlanta GA","524","Atlanta"
"North Carolina","Charlotte NC","517","Charlotte"
"North Carolina","Chattanooga TN","575","Chattanooga"
"North Carolina","Florence-Myrtle Beach SC","570","Florence"
"North Carolina","Greensboro-High Point-Winston Salem NC","518","Greensboro"
"North Carolina","Greenville-New Bern-Washington NC","545","Greenville"
"North Carolina","Greenville-Spartanburg SC-Asheville NC-Anderson SC","567","Greenville"
"North Carolina","Norfolk-Portsmouth-Newport News VA","544","Norfolk"
"North Carolina","Raleigh-Durham (Fayetteville) NC","560","Raleigh"
"North Carolina","Wilmington NC","550","Wilmington"
"North Dakota","Fargo-Valley City ND","724","Fargo"
"North Dakota","Minot-Bismarck-Dickinson(Williston) ND","687","Minot"
"Ohio","Charleston-Huntington WV","564","Charleston"
"Ohio","Cincinnati OH","515","Cincinnati"
"Ohio","Cleveland-Akron (Canton) OH","510","Cleveland"
"Ohio","Columbus OH","535","Columbus"
"Ohio","Dayton OH","542","Dayton"
"Ohio","Ft. Wayne IN","509","FtWayne"
"Ohio","Lima OH","558","Lima"
"Ohio","Parkersburg WV","597","Parkersburg"
"Ohio","Toledo OH","547","Toledo"
"Ohio","Wheeling WV-Steubenville OH","554","Wheeling"
"Ohio","Youngstown OH","536","Youngston"
"Ohio","Zanesville OH","596","Zanesville"
"Oklahoma","Amarillo TX","634","Amarillo"
"Oklahoma","Ft. Smith-Fayetteville-Springdale-Rogers AR","670","FtSmith"
"Oklahoma","Joplin MO-Pittsburg","603","Joplin"
"Oklahoma","Oklahoma City OK","650","OklohomaCity"
"Oklahoma","Sherman TX-Ada OK","657","Sherman"
"Oklahoma","Shreveport LA","612","Shreveport"
"Oklahoma","Tulsa OK","671","Tulsa"
"Oklahoma","Wichita Falls TX & Lawton OK","627","WichitaFalls"
"Oregon","Bend OR","821","Bend"
"Oregon","Boise ID","757","Boise"
"Oregon","Eugene OR","801","Eugene"
"Oregon","Medford-Klamath Falls OR","813","Medford"
"Oregon","Portland OR","820","Portland"
"Oregon","Spokane WA","881","Spokane"
"Oregon","Yakima-Pasco-Richland-Kennewick WA","810","Yakima"
"Pennsylvania","Buffalo NY","514","Buffalo"
"Pennsylvania","Elmira NY","565","Emira"
"Pennsylvania","Erie PA","516","Erie"
"Pennsylvania","Harrisburg-Lancaster-Lebanon-York PA","566","Harrisburg"
"Pennsylvania","Johnstown-Altoona PA","574","Johnsontown"
"Pennsylvania","New York NY","501","NewYork"
"Pennsylvania","Philadelphia PA","504","Philadelphia"
"Pennsylvania","Pittsburgh PA","508","Pittsburgh"
"Pennsylvania","Washington DC (Hagerstown MD)","511","WashingtonDC"
"Pennsylvania","Wilkes Barre-Scranton PA","577","Wilkes"
"Pennsylvania","Youngstown OH","536","Youngston"
"Rhode Island","Providence RI-New Bedford MA","521","Providence"
"South Carolina","Augusta GA","520","Augusta"
"South Carolina","Charleston SC","519","Charleston"
"South Carolina","Charlotte NC","517","Charlotte"
"South Carolina","Columbia SC","546","Columbia"
"South Carolina","Florence-Myrtle Beach SC","570","Florence"
"South Carolina","Greenville-Spartanburg SC-Asheville NC-Anderson SC","567","Greenville"
"South Carolina","Savannah GA","507","Savanah"
"South Dakota","Minot-Bismarck-Dickinson(Williston) ND","687","Minot"
"South Dakota","Rapid City SD","764","RapidCitySD"
"South Dakota","Sioux City IA","624","SiouxCityIA"
"South Dakota","Sioux Falls(Mitchell) SD","725","SiouxFallsSD"
"Tennessee","Chattanooga TN","575","Chattanooga"
"Tennessee","Huntsville-Decatur (Florence) AL","691","Huntsville"
"Tennessee","Jackson TN","639","Jackson"
"Tennessee","Knoxville TN","557","Knoxville"
"Tennessee","Memphis TN","640","Memphis"
"Tennessee","Nashville TN","659","Nashville"
"Tennessee","Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL","632","Paducah"
"Tennessee","Tri-Cities TN-VA","531","Tricities"
"Texas","Abilene-Sweetwater TX","662","Abilene"
"Texas","Amarillo TX","634","Amarillo"
"Texas","Austin TX","635","Austin"
"Texas","Beaumont-Port Arthur TX","692","Beaumont"
"Texas","Corpus Christi TX","600","CorpusChristi"
"Texas","Dallas-Ft. Worth TX","623","Dallas"
"Texas","El Paso TX","765","ElPaso"
"Texas","Harlingen-Weslaco-Brownsville-McAllen TX","636","Harlingen"
"Texas","Houston TX","618","Houston"
"Texas","Laredo TX","749","Laredo"
"Texas","Lubbock TX","651","Lubbock"
"Texas","Odessa-Midland TX","633","Odessa"
"Texas","San Angelo TX","661","SanAngelo"
"Texas","San Antonio TX","641","SanAntonio"
"Texas","Sherman TX-Ada OK","657","Sherman"
"Texas","Shreveport LA","612","Shreveport"
"Texas","Tyler-Longview(Lufkin & Nacogdoches) TX","709","Tyler"
"Texas","Victoria TX","626","Victoria"
"Texas","Waco-Temple-Bryan TX","625","Waco"
"Texas","Wichita Falls TX & Lawton OK","627","Witchita"
"Utah","Salt Lake City UT","770","SaltLakeCity"
"Vermont","Albany-Schenectady-Troy NY","532","AlbanyNY"
"Vermont","Boston MA-Manchester NH","506","Boston"
"Vermont","Burlington VT-Plattsburgh NY","523","Burlington"
"Virginia","Bluefield-Beckley-Oak Hill WV","559","Bluefield"
"Virginia","Charlottesville VA","584","Charlottesville"
"Virginia","Greensboro-High Point-Winston Salem NC","518","Greensboro"
"Virginia","Harrisonburg VA","569","Harrisburg"
"Virginia","Norfolk-Portsmouth-Newport News VA","544","Norfolk"
"Virginia","Raleigh-Durham (Fayetteville) NC","560","Raleigh"
"Virginia","Richmond-Petersburg VA","556","Richmond"
"Virginia","Roanoke-Lynchburg VA","573","Roanoke"
"Virginia","Tri-Cities TN-VA","531","Tricities"
"Virginia","Washington DC (Hagerstown MD)","511","WashgintonDC"
"Washington","Portland OR","820","PortlandOR"
"Washington","Seattle-Tacoma WA","819","Seattle"
"Washington","Spokane WA","881","Spokane"
"Washington","Yakima-Pasco-Richland-Kennewick WA","810","Yakima"
"West Virginia","Bluefield-Beckley-Oak Hill WV","559","Bluefield"
"West Virginia","Charleston-Huntington WV","564","Charleston"
"West Virginia","Clarksburg-Weston WV","598","Clarksburg"
"West Virginia","Harrisonburg VA","569","Harrisburg"
"West Virginia","Parkersburg WV","597","Parksburg"
"West Virginia","Pittsburgh PA","508","Pittsburgh"
"West Virginia","Roanoke-Lynchburg VA","573","Roanoke"
"West Virginia","Washington DC (Hagerstown MD)","511","WashingtonDC"
"West Virginia","Wheeling WV-Steubenville OH","554","WheelingWV"
"Wisconsin","Cedar Rapids-Waterloo-Iowa City & Dubuque IA","637","CedarRapidsIA"
"Wisconsin","Duluth MN-Superior WI","676","Duluth"
"Wisconsin","Green Bay-Appleton WI","658","GreenBay"
"Wisconsin","La Crosse-Eau Claire WI","702","LaCrosse"
"Wisconsin","Madison WI","669","Madison"
"Wisconsin","Marquette MI","553","Marquette"
"Wisconsin","Milwaukee WI","617","Milwaukee"
"Wisconsin","Minneapolis-St. Paul MN","613","Minneapolis"
"Wisconsin","Wausau-Rhinelander WI","705","Wausau"
"Wyoming","Billings MT","756","Billings"
"Wyoming","Casper-Riverton WY","767","Casper"
"Wyoming","Cheyenne WY-Scottsbluff NE","759","Cheyenne"
"Wyoming","Idaho Falls-Pocatello ID","758","Idaho"
"Wyoming","Rapid City SD","764","RapidCitySD"
"Wyoming","Salt Lake City UT","770","SaltLakeCity"
